Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-01-01T18:35:57.965947Z,,CASH TOP-UP,,,EUR 300,EUR,1.0000
2025-01-01T18:40:42.651930Z,,CASH WITHDRAWAL,,,EUR -300,EUR,1.0000
2025-01-01T20:59:44.711022Z,,CASH TOP-UP,,,USD 106.94,USD,1.0381
2025-01-02T07:01:29Z,US91282CFW64,BUY - MARKET,1,USD 100.86,USD 101.89,USD,1.0391
2025-01-14T14:31:45.340350Z,,CASH TOP-UP,,,EUR 1600,EUR,1.0000
2025-01-14T14:33:16.130528Z,,CASH WITHDRAWAL,,,EUR -1600,EUR,1.0000
2025-01-14T14:39:30.773746Z,,CASH WITHDRAWAL,,,USD -5,USD,1.0292
2025-05-16T11:25:24.315047Z,US91282CFW64,BOND COUPON,,,USD 2.25,USD,1.1227
2025-08-06T19:10:57.352695Z,,CASH TOP-UP,,,USD 1150,USD,1.1690
2025-08-06T19:29:56Z,MP,BUY - LIMIT,3,USD 67.70,USD 203.10,USD,1.1688
2025-08-06T19:33:26Z,MSFT,BUY - MARKET,0.5,USD 525.28,USD 262.64,USD,1.1688
2025-08-06T19:37:10Z,NVDA,BUY - MARKET,1,USD 179.77,USD 179.77,USD,1.1687
2025-08-06T19:38:07.068Z,TSM,BUY - MARKET,1,USD 231.99,USD 231.99,USD,1.1687
2025-08-06T19:40:21.499Z,JPM,BUY - MARKET,0.5,USD 291.50,USD 145.75,USD,1.1687
2025-08-06T19:44:16Z,PLTR,BUY - MARKET,0.6,USD 177.63,USD 106.58,USD,1.1687
2025-08-06T19:49:19.161611Z,,CASH TOP-UP,,,USD 30,USD,1.1684
2025-08-06T19:51:50Z,ORCL,BUY - MARKET,0.18,USD 255.72,USD 46.03,USD,1.1685
2025-08-08T19:40:59.081294Z,,CASH TOP-UP,,,USD 150,USD,1.1673
2025-08-08T19:41:42Z,CORZ,BUY - MARKET,5,USD 14.36,USD 71.79,USD,1.1673
2025-08-11T15:43:24Z,MP,SELL - MARKET,3,USD 74.11,USD 222.31,USD,1.1628
2025-08-11T15:45:19Z,PLTR,BUY - MARKET,1.4,USD 186.17,USD 260.64,USD,1.1631
2025-08-13T17:07:51Z,CORZ,SELL - MARKET,5,USD 13.50,USD 66.32,USD,1.1736
2025-09-11T16:58:48Z,ORCL,SELL - MARKET,0.18,USD 314.06,USD 56.52,USD,1.1763
2025-09-12T08:56:12.887883Z,MSFT,DIVIDEND,,,USD 0.35,USD,1.1743
2025-09-26T07:56:27.948066Z,,CASH TOP-UP,,,EUR 182.63,EUR,1.0000
2025-09-26T07:56:29.343Z,1TY,BUY - MARKET,3,EUR 57.98,EUR 173.94,EUR,1.0000
2025-10-03T16:48:30.750116Z,NVDA,DIVIDEND,,,USD 0.01,USD,1.1766
2025-10-07T13:30:44Z,DAL,BUY - MARKET,2.89780521,USD 58.32,USD 169,USD,1.1692
2025-10-07T17:39:41.574045Z,,CASH TOP-UP,,,USD 150,USD,1.1699
2025-10-07T17:39:58.747864Z,,CASH TOP-UP,,,USD 25,USD,1.1700
2025-10-07T17:40:54.394768Z,,CASH TOP-UP,,,USD 20,USD,1.1699
2025-10-07T17:41:13Z,CLSK,BUY - MARKET,10,USD 17.55,USD 175.48,USD,1.1700
2025-10-09T15:39:37.048341Z,TSM,DIVIDEND,,,USD 0.64,USD,1.1581
2025-10-21T20:04:11.201003Z,,CASH WITHDRAWAL,,,USD -20,USD,1.1626
2025-10-21T20:04:25.710910Z,,CASH WITHDRAWAL,,,EUR -8,EUR,1.0000
2025-10-31T11:43:36.253883Z,JPM,DIVIDEND,,,USD 0.64,USD,1.1588
2025-11-07T10:12:21.656754Z,DAL,DIVIDEND,,,USD 0.46,USD,1.1570
2025-11-18T16:12:53.978389Z,US91282CFW64,BOND COUPON,,,USD 2.25,USD,1.1600
2025-11-18T16:18:57.503613Z,US91282CFW64,BOND REDEMPTION,1,,USD 100,USD,1.1603
2025-11-23T16:23:08.323921Z,,CASH WITHDRAWAL,,,USD -104,USD,1.1547
2025-12-05T15:45:51.144240Z,1TY,DIVIDEND,,,EUR 0.60,EUR,1.0000
2025-12-12T09:10:50.834214Z,MSFT,DIVIDEND,,,USD 0.38,USD,1.1756
2025-12-29T23:16:54.735396Z,NVDA,DIVIDEND,,,USD 0.01,USD,1.1800
2026-01-08T15:03:53.613716Z,TSM,DIVIDEND,,,USD 0.62,USD,1.1689
2026-02-02T12:36:58.849846Z,JPM,DIVIDEND,,,USD 0.64,USD,1.1876
2026-02-17T14:39:45Z,DAL,SELL - MARKET,2.89780521,USD 69.50,USD 201.39,USD,1.1848
2026-02-18T06:11:15.595299Z,,CASH WITHDRAWAL,,,USD -200,USD,1.1869
2026-03-13T11:38:34.045348Z,MSFT,DIVIDEND,,,USD 0.38,USD,1.1486
2026-03-23T11:13:24.278485Z,,CASH TOP-UP,,,EUR 1000,EUR,1.0000
2026-03-23T11:17:21.053488Z,,CASH TOP-UP,,,USD 1150,USD,1.1608
2026-03-23T11:17:29.766Z,1TY,BUY - MARKET,3,EUR 41.59,EUR 124.77,EUR,1.0000
2026-03-23T11:20:51.345Z,VUAA,BUY - MARKET,7.2161331,EUR 110.86,EUR 800,EUR,1.0000
2026-03-23T16:04:36.547Z,AAPL,BUY - MARKET,2,USD 252.16,USD 504.31,USD,1.1607
2026-03-23T16:06:18.596Z,BCS,BUY - MARKET,20,USD 20.64,USD 412.77,USD,1.1604
2026-03-23T16:07:56.857Z,MSFT,BUY - MARKET,0.5,USD 384.42,USD 192.21,USD,1.1615
2026-03-23T16:14:32.756Z,EUNM,BUY - MARKET,1.628747,EUR 46.98,EUR 76.52,EUR,1.0000
2026-04-03T13:32:22.682057Z,NVDA,DIVIDEND,,,USD 0.01,USD,1.1561
2026-04-09T15:29:17.612218Z,TSM,DIVIDEND,,,USD 0.74,USD,1.1721
2026-04-30T11:35:36.260665Z,JPM,DIVIDEND,,,USD 0.64,USD,1.1741
2026-05-14T14:41:37.148749Z,,REWARD,,,USD 1.03,USD,1.1721
2026-05-15T10:11:26.538461Z,AAPL,DIVIDEND,,,USD 0.46,USD,1.1660
2026-06-12T09:34:05.093786Z,MSFT,DIVIDEND,,,USD 0.77,USD,1.1610
2026-06-29T16:48:53.073411Z,NVDA,DIVIDEND,,,USD 0.21,USD,1.1452
2026-07-09T17:30:13.102857Z,TSM,DIVIDEND,,,USD 0.74,USD,1.1465
2026-07-31T11:26:25.115065Z,JPM,DIVIDEND,,,USD 0.64,USD,1.1519
2026-08-12T18:15:28.717490Z,,CASH TOP-UP,,,USD 10,USD,1.1550
2026-08-14T12:40:18.123256Z,AAPL,DIVIDEND,,,USD 0.46,USD,1.1594
